Date,NW 58th St Greenway st 22nd Ave NW Total,East,West
04/17/2014 11:00:00 AM,35,18,17
04/17/2014 12:00:00 PM,24,7,17
04/17/2014 01:00:00 PM,17,6,11
04/17/2014 02:00:00 PM,20,14,6
04/17/2014 03:00:00 PM,24,17,7
04/17/2014 04:00:00 PM,28,14,14
04/17/2014 05:00:00 PM,38,11,27
04/17/2014 06:00:00 PM,32,10,22
04/17/2014 07:00:00 PM,35,25,10
04/17/2014 08:00:00 PM,17,9,8
04/17/2014 09:00:00 PM,14,14,0
04/17/2014 10:00:00 PM,2,0,2
04/17/2014 11:00:00 PM,7,6,1
04/18/2014 12:00:00 AM,0,0,0
04/18/2014 01:00:00 AM,0,0,0
04/18/2014 02:00:00 AM,2,2,0
04/18/2014 03:00:00 AM,2,0,2
04/18/2014 04:00:00 AM,0,0,0
04/18/2014 05:00:00 AM,4,3,1
04/18/2014 06:00:00 AM,7,3,4
04/18/2014 07:00:00 AM,20,14,6
04/18/2014 08:00:00 AM,33,22,11
04/18/2014 09:00:00 AM,22,14,8
04/18/2014 10:00:00 AM,31,20,11
04/18/2014 11:00:00 AM,42,25,17
04/18/2014 12:00:00 PM,33,15,18
04/18/2014 01:00:00 PM,36,23,13
04/18/2014 02:00:00 PM,43,25,18
04/18/2014 03:00:00 PM,50,36,14
04/18/2014 04:00:00 PM,34,18,16
04/18/2014 05:00:00 PM,53,36,17
04/18/2014 06:00:00 PM,60,31,29
04/18/2014 07:00:00 PM,33,18,15
04/18/2014 08:00:00 PM,28,19,9
04/18/2014 09:00:00 PM,26,21,5
04/18/2014 10:00:00 PM,19,17,2
04/18/2014 11:00:00 PM,6,5,1
04/19/2014 12:00:00 AM,8,7,1
04/19/2014 01:00:00 AM,0,0,0
04/19/2014 02:00:00 AM,4,4,0
04/19/2014 03:00:00 AM,1,1,0
04/19/2014 04:00:00 AM,0,0,0
04/19/2014 05:00:00 AM,1,1,0
04/19/2014 06:00:00 AM,0,0,0
04/19/2014 07:00:00 AM,4,1,3
04/19/2014 08:00:00 AM,17,12,5
04/19/2014 09:00:00 AM,35,20,15
04/19/2014 10:00:00 AM,32,15,17
04/19/2014 11:00:00 AM,53,27,26
04/19/2014 12:00:00 PM,57,35,22
04/19/2014 01:00:00 PM,61,41,20
04/19/2014 02:00:00 PM,59,32,27
04/19/2014 03:00:00 PM,50,15,35
04/19/2014 04:00:00 PM,25,14,11
04/19/2014 05:00:00 PM,32,21,11
04/19/2014 06:00:00 PM,44,33,11
04/19/2014 07:00:00 PM,29,18,11
04/19/2014 08:00:00 PM,34,26,8
04/19/2014 09:00:00 PM,24,15,9
04/19/2014 10:00:00 PM,13,9,4
04/19/2014 11:00:00 PM,6,4,2
04/20/2014 12:00:00 AM,4,4,0
04/20/2014 01:00:00 AM,3,3,0
04/20/2014 02:00:00 AM,9,5,4
04/20/2014 03:00:00 AM,0,0,0
04/20/2014 04:00:00 AM,0,0,0
04/20/2014 05:00:00 AM,0,0,0
04/20/2014 06:00:00 AM,1,0,1
04/20/2014 07:00:00 AM,8,6,2
04/20/2014 08:00:00 AM,10,6,4
04/20/2014 09:00:00 AM,26,18,8
04/20/2014 10:00:00 AM,35,26,9
04/20/2014 11:00:00 AM,40,21,19
04/20/2014 12:00:00 PM,46,21,25
04/20/2014 01:00:00 PM,49,34,15
04/20/2014 02:00:00 PM,36,17,19
04/20/2014 03:00:00 PM,29,20,9
04/20/2014 04:00:00 PM,27,18,9
04/20/2014 05:00:00 PM,25,19,6
04/20/2014 06:00:00 PM,23,17,6
04/20/2014 07:00:00 PM,16,8,8
04/20/2014 08:00:00 PM,10,9,1
04/20/2014 09:00:00 PM,13,8,5
04/20/2014 10:00:00 PM,4,4,0
04/20/2014 11:00:00 PM,8,4,4
04/21/2014 12:00:00 AM,1,0,1
04/21/2014 01:00:00 AM,0,0,0
04/21/2014 02:00:00 AM,0,0,0
04/21/2014 03:00:00 AM,0,0,0
04/21/2014 04:00:00 AM,0,0,0
04/21/2014 05:00:00 AM,1,1,0
04/21/2014 06:00:00 AM,9,4,5
04/21/2014 07:00:00 AM,24,15,9
04/21/2014 08:00:00 AM,21,9,12
04/21/2014 09:00:00 AM,41,28,13
04/21/2014 10:00:00 AM,24,7,17
04/21/2014 11:00:00 AM,22,16,6
04/21/2014 12:00:00 PM,42,20,22
04/21/2014 01:00:00 PM,28,18,10
04/21/2014 02:00:00 PM,24,18,6
04/21/2014 03:00:00 PM,24,18,6
04/21/2014 04:00:00 PM,22,15,7
04/21/2014 05:00:00 PM,41,30,11
04/21/2014 06:00:00 PM,43,21,22
04/21/2014 07:00:00 PM,26,13,13
04/21/2014 08:00:00 PM,25,15,10
04/21/2014 09:00:00 PM,5,2,3
04/21/2014 10:00:00 PM,5,5,0
04/21/2014 11:00:00 PM,7,7,0
04/22/2014 12:00:00 AM,3,3,0
04/22/2014 01:00:00 AM,0,0,0
04/22/2014 02:00:00 AM,0,0,0
04/22/2014 03:00:00 AM,0,0,0
04/22/2014 04:00:00 AM,0,0,0
04/22/2014 05:00:00 AM,6,2,4
04/22/2014 06:00:00 AM,5,2,3
04/22/2014 07:00:00 AM,40,29,11
04/22/2014 08:00:00 AM,23,15,8
04/22/2014 09:00:00 AM,31,15,16
04/22/2014 10:00:00 AM,23,14,9
04/22/2014 11:00:00 AM,27,22,5
04/22/2014 12:00:00 PM,40,27,13
04/22/2014 01:00:00 PM,35,11,24
04/22/2014 02:00:00 PM,28,20,8
04/22/2014 03:00:00 PM,31,16,15
04/22/2014 04:00:00 PM,53,26,27
04/22/2014 05:00:00 PM,54,23,31
04/22/2014 06:00:00 PM,26,11,15
04/22/2014 07:00:00 PM,59,33,26
04/22/2014 08:00:00 PM,30,25,5
04/22/2014 09:00:00 PM,17,9,8
04/22/2014 10:00:00 PM,10,8,2
04/22/2014 11:00:00 PM,5,3,2
04/23/2014 12:00:00 AM,1,0,1
04/23/2014 01:00:00 AM,2,2,0
04/23/2014 02:00:00 AM,1,1,0
04/23/2014 03:00:00 AM,0,0,0
04/23/2014 04:00:00 AM,0,0,0
04/23/2014 05:00:00 AM,2,2,0
04/23/2014 06:00:00 AM,4,2,2
04/23/2014 07:00:00 AM,20,13,7
04/23/2014 08:00:00 AM,29,18,11
04/23/2014 09:00:00 AM,31,23,8
04/23/2014 10:00:00 AM,20,15,5
04/23/2014 11:00:00 AM,20,10,10
04/23/2014 12:00:00 PM,26,21,5
04/23/2014 01:00:00 PM,29,21,8
04/23/2014 02:00:00 PM,25,17,8
04/23/2014 03:00:00 PM,33,19,14
04/23/2014 04:00:00 PM,30,19,11
04/23/2014 05:00:00 PM,21,9,12
04/23/2014 06:00:00 PM,16,8,8
04/23/2014 07:00:00 PM,18,11,7
04/23/2014 08:00:00 PM,13,8,5
04/23/2014 09:00:00 PM,20,15,5
04/23/2014 10:00:00 PM,11,6,5
04/23/2014 11:00:00 PM,5,3,2
04/24/2014 12:00:00 AM,5,4,1
04/24/2014 01:00:00 AM,0,0,0
04/24/2014 02:00:00 AM,0,0,0
04/24/2014 03:00:00 AM,0,0,0
04/24/2014 04:00:00 AM,0,0,0
04/24/2014 05:00:00 AM,6,4,2
04/24/2014 06:00:00 AM,5,2,3
04/24/2014 07:00:00 AM,39,19,20
04/24/2014 08:00:00 AM,39,17,22
04/24/2014 09:00:00 AM,27,17,10
04/24/2014 10:00:00 AM,32,24,8
04/24/2014 11:00:00 AM,29,8,21
04/24/2014 12:00:00 PM,29,17,12
04/24/2014 01:00:00 PM,68,40,28
04/24/2014 02:00:00 PM,40,21,19
04/24/2014 03:00:00 PM,28,15,13
04/24/2014 04:00:00 PM,43,21,22
04/24/2014 05:00:00 PM,67,38,29
04/24/2014 06:00:00 PM,50,32,18
04/24/2014 07:00:00 PM,51,33,18
04/24/2014 08:00:00 PM,18,6,12
04/24/2014 09:00:00 PM,18,11,7
04/24/2014 10:00:00 PM,9,6,3
04/24/2014 11:00:00 PM,11,11,0
04/25/2014 12:00:00 AM,4,2,2
04/25/2014 01:00:00 AM,4,2,2
04/25/2014 02:00:00 AM,6,0,6
04/25/2014 03:00:00 AM,0,0,0
04/25/2014 04:00:00 AM,0,0,0
04/25/2014 05:00:00 AM,3,3,0
04/25/2014 06:00:00 AM,12,7,5
04/25/2014 07:00:00 AM,17,12,5
04/25/2014 08:00:00 AM,36,22,14
04/25/2014 09:00:00 AM,36,16,20
04/25/2014 10:00:00 AM,25,16,9
04/25/2014 11:00:00 AM,36,24,12
04/25/2014 12:00:00 PM,44,33,11
04/25/2014 01:00:00 PM,49,28,21
04/25/2014 02:00:00 PM,28,12,16
04/25/2014 03:00:00 PM,35,24,11
04/25/2014 04:00:00 PM,43,29,14
04/25/2014 05:00:00 PM,41,26,15
04/25/2014 06:00:00 PM,55,28,27
04/25/2014 07:00:00 PM,41,29,12
04/25/2014 08:00:00 PM,15,7,8
04/25/2014 09:00:00 PM,10,5,5
04/25/2014 10:00:00 PM,5,2,3
04/25/2014 11:00:00 PM,12,6,6
04/26/2014 12:00:00 AM,8,7,1
04/26/2014 01:00:00 AM,8,4,4
04/26/2014 02:00:00 AM,2,0,2
04/26/2014 03:00:00 AM,1,1,0
04/26/2014 04:00:00 AM,0,0,0
