year,day,hour,day_of_week,location,num_bikes
2014,11,18,4,26th_Ave_SW_Greenway_at_SW_Oregon_St,50
2014,11,19,4,26th_Ave_SW_Greenway_at_SW_Oregon_St,48
2014,11,20,4,26th_Ave_SW_Greenway_at_SW_Oregon_St,16
2014,11,21,4,26th_Ave_SW_Greenway_at_SW_Oregon_St,20
2014,11,22,4,26th_Ave_SW_Greenway_at_SW_Oregon_St,3
2014,11,23,4,26th_Ave_SW_Greenway_at_SW_Oregon_St,12
2014,12,0,5,26th_Ave_SW_Greenway_at_SW_Oregon_St,2
2014,12,1,5,26th_Ave_SW_Greenway_at_SW_Oregon_St,0
2014,12,2,5,26th_Ave_SW_Greenway_at_SW_Oregon_St,1
2014,12,3,5,26th_Ave_SW_Greenway_at_SW_Oregon_St,0
2014,12,4,5,26th_Ave_SW_Greenway_at_SW_Oregon_St,2
2014,12,5,5,26th_Ave_SW_Greenway_at_SW_Oregon_St,1
2014,12,6,5,26th_Ave_SW_Greenway_at_SW_Oregon_St,4
2014,12,7,5,26th_Ave_SW_Greenway_at_SW_Oregon_St,11
2014,12,8,5,26th_Ave_SW_Greenway_at_SW_Oregon_St,19
2014,12,9,5,26th_Ave_SW_Greenway_at_SW_Oregon_St,18
2014,12,10,5,26th_Ave_SW_Greenway_at_SW_Oregon_St,38
2014,12,11,5,26th_Ave_SW_Greenway_at_SW_Oregon_St,26
2014,12,12,5,26th_Ave_SW_Greenway_at_SW_Oregon_St,27
2014,12,13,5,26th_Ave_SW_Greenway_at_SW_Oregon_St,30
2014,12,14,5,26th_Ave_SW_Greenway_at_SW_Oregon_St,28
2014,12,15,5,26th_Ave_SW_Greenway_at_SW_Oregon_St,31
2014,12,16,5,26th_Ave_SW_Greenway_at_SW_Oregon_St,47
2014,12,17,5,26th_Ave_SW_Greenway_at_SW_Oregon_St,45
2014,12,18,5,26th_Ave_SW_Greenway_at_SW_Oregon_St,44
2014,12,19,5,26th_Ave_SW_Greenway_at_SW_Oregon_St,33
2014,12,20,5,26th_Ave_SW_Greenway_at_SW_Oregon_St,24
2014,12,21,5,26th_Ave_SW_Greenway_at_SW_Oregon_St,26
2014,12,22,5,26th_Ave_SW_Greenway_at_SW_Oregon_St,27
2014,12,23,5,26th_Ave_SW_Greenway_at_SW_Oregon_St,10
2014,13,0,6,26th_Ave_SW_Greenway_at_SW_Oregon_St,8
2014,13,1,6,26th_Ave_SW_Greenway_at_SW_Oregon_St,8
2014,13,2,6,26th_Ave_SW_Greenway_at_SW_Oregon_St,2
2014,13,3,6,26th_Ave_SW_Greenway_at_SW_Oregon_St,6
2014,13,4,6,26th_Ave_SW_Greenway_at_SW_Oregon_St,2
2014,13,5,6,26th_Ave_SW_Greenway_at_SW_Oregon_St,0
2014,13,6,6,26th_Ave_SW_Greenway_at_SW_Oregon_St,3
2014,13,7,6,26th_Ave_SW_Greenway_at_SW_Oregon_St,15
2014,13,8,6,26th_Ave_SW_Greenway_at_SW_Oregon_St,19
2014,13,9,6,26th_Ave_SW_Greenway_at_SW_Oregon_St,33
2014,13,10,6,26th_Ave_SW_Greenway_at_SW_Oregon_St,35
2014,13,11,6,26th_Ave_SW_Greenway_at_SW_Oregon_St,54
2014,13,12,6,26th_Ave_SW_Greenway_at_SW_Oregon_St,69
2014,13,13,6,26th_Ave_SW_Greenway_at_SW_Oregon_St,41
2014,13,14,6,26th_Ave_SW_Greenway_at_SW_Oregon_St,51
2014,13,15,6,26th_Ave_SW_Greenway_at_SW_Oregon_St,48
2014,13,16,6,26th_Ave_SW_Greenway_at_SW_Oregon_St,23
2014,13,17,6,26th_Ave_SW_Greenway_at_SW_Oregon_St,13
2014,13,18,6,26th_Ave_SW_Greenway_at_SW_Oregon_St,28
2014,13,19,6,26th_Ave_SW_Greenway_at_SW_Oregon_St,35
2014,13,20,6,26th_Ave_SW_Greenway_at_SW_Oregon_St,18
2014,13,21,6,26th_Ave_SW_Greenway_at_SW_Oregon_St,11
2014,13,22,6,26th_Ave_SW_Greenway_at_SW_Oregon_St,10
2014,13,23,6,26th_Ave_SW_Greenway_at_SW_Oregon_St,6
2014,14,0,0,26th_Ave_SW_Greenway_at_SW_Oregon_St,3
2014,14,1,0,26th_Ave_SW_Greenway_at_SW_Oregon_St,0
2014,14,2,0,26th_Ave_SW_Greenway_at_SW_Oregon_St,4
2014,14,3,0,26th_Ave_SW_Greenway_at_SW_Oregon_St,1
2014,14,4,0,26th_Ave_SW_Greenway_at_SW_Oregon_St,1
2014,14,5,0,26th_Ave_SW_Greenway_at_SW_Oregon_St,1
2014,14,6,0,26th_Ave_SW_Greenway_at_SW_Oregon_St,21
2014,14,7,0,26th_Ave_SW_Greenway_at_SW_Oregon_St,28
2014,14,8,0,26th_Ave_SW_Greenway_at_SW_Oregon_St,14
2014,14,9,0,26th_Ave_SW_Greenway_at_SW_Oregon_St,22
2014,14,10,0,26th_Ave_SW_Greenway_at_SW_Oregon_St,32
2014,14,11,0,26th_Ave_SW_Greenway_at_SW_Oregon_St,26
2014,14,12,0,26th_Ave_SW_Greenway_at_SW_Oregon_St,34
2014,14,13,0,26th_Ave_SW_Greenway_at_SW_Oregon_St,28
2014,14,14,0,26th_Ave_SW_Greenway_at_SW_Oregon_St,58
2014,14,15,0,26th_Ave_SW_Greenway_at_SW_Oregon_St,73
2014,14,16,0,26th_Ave_SW_Greenway_at_SW_Oregon_St,53
2014,14,17,0,26th_Ave_SW_Greenway_at_SW_Oregon_St,91
2014,14,18,0,26th_Ave_SW_Greenway_at_SW_Oregon_St,28
2014,14,19,0,26th_Ave_SW_Greenway_at_SW_Oregon_St,40
2014,14,20,0,26th_Ave_SW_Greenway_at_SW_Oregon_St,32
2014,14,21,0,26th_Ave_SW_Greenway_at_SW_Oregon_St,12
2014,14,22,0,26th_Ave_SW_Greenway_at_SW_Oregon_St,9
2014,14,23,0,26th_Ave_SW_Greenway_at_SW_Oregon_St,9
2014,15,0,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,3
2014,15,1,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,3
2014,15,2,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,3
2014,15,3,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,5
2014,15,4,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,0
2014,15,5,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,5
2014,15,6,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,15
2014,15,7,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,38
2014,15,8,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,38
2014,15,9,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,34
2014,15,10,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,26
2014,15,11,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,40
2014,15,12,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,23
2014,15,13,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,30
2014,15,14,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,32
2014,15,15,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,46
2014,15,16,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,84
2014,15,17,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,54
2014,15,18,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,42
2014,15,19,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,31
2014,15,20,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,19
2014,15,21,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,23
2014,15,22,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,9
2014,15,23,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,9
2014,16,0,2,26th_Ave_SW_Greenway_at_SW_Oregon_St,4
2014,16,1,2,26th_Ave_SW_Greenway_at_SW_Oregon_St,2
2014,16,2,2,26th_Ave_SW_Greenway_at_SW_Oregon_St,4
